Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post consumers by type - link clicks,Lifetime Post consumers by type - other clicks,Lifetime Post consumers by type - photo view,Lifetime Post consumers by type - video play,Lifetime Post Consumptions by type - link clicks,Lifetime Post Consumptions by type - other clicks,Lifetime Post Consumptions by type - photo view,Lifetime Post Consumptions by type - video play,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Negative feedback - hide_all_clicks,Lifetime Negative feedback - hide_clicks,Lifetime Negative feedback - unlike_page_clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Average time video viewed,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Video length,Lifetime Percentage of viewers at each interval (video post) - 0,Lifetime Percentage of viewers at each interval (video post) - 1,Lifetime Percentage of viewers at each interval (video post) - 2,Lifetime Percentage of viewers at each interval (video post) - 3,Lifetime Percentage of viewers at each interval (video post) - 4,Lifetime Percentage of viewers at each interval (video post) - 5,Lifetime Percentage of viewers at each interval (video post) - 6,Lifetime Percentage of viewers at each interval (video post) - 7,Lifetime Percentage of viewers at each interval (video post) - 8,Lifetime Percentage of viewers at each interval (video post) - 9,Lifetime Percentage of viewers at each interval (video post) - 10,Lifetime Percentage of viewers at each interval (video post) - 11,Lifetime Percentage of viewers at each interval (video post) - 12,Lifetime Percentage of viewers at each interval (video post) - 13,Lifetime Percentage of viewers at each interval (video post) - 14,Lifetime Percentage of viewers at each interval (video post) - 15,Lifetime Percentage of viewers at each interval (video post) - 16,Lifetime Percentage of viewers at each interval (video post) - 17,Lifetime Percentage of viewers at each interval (video post) - 18,Lifetime Percentage of viewers at each interval (video post) - 19,Lifetime Percentage of viewers at each interval (video post) - 20,Lifetime Percentage of viewers at each interval (video post) - 21,Lifetime Percentage of viewers at each interval (video post) - 22,Lifetime Percentage of viewers at each interval (video post) - 23,Lifetime Percentage of viewers at each interval (video post) - 24,Lifetime Percentage of viewers at each interval (video post) - 25,Lifetime Percentage of viewers at each interval (video post) - 26,Lifetime Percentage of viewers at each interval (video post) - 27,Lifetime Percentage of viewers at each interval (video post) - 28,Lifetime Percentage of viewers at each interval (video post) - 29,Lifetime Percentage of viewers at each interval (video post) - 30,Lifetime Percentage of viewers at each interval (video post) - 31,Lifetime Percentage of viewers at each interval (video post) - 32,Lifetime Percentage of viewers at each interval (video post) - 33,Lifetime Percentage of viewers at each interval (video post) - 34,Lifetime Percentage of viewers at each interval (video post) - 35,Lifetime Percentage of viewers at each interval (video post) - 36,Lifetime Percentage of viewers at each interval (video post) - 37,Lifetime Percentage of viewers at each interval (video post) - 38,Lifetime Percentage of viewers at each interval (video post) - 39,Lifetime Percentage of viewers at each interval (video post) - 40,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views
,,,,,,,,Lifetime: The total number of people your Page post was served to. (Unique Users),"Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)",Lifetime: The number of people your advertised Page post was served to. (Unique Users),Lifetime: The number of impressions of your Page post. (Total Count),Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count),Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count),Lifetime: The number of people who clicked anywhere in your posts. (Unique Users),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,Lifetime: The number of people who clicked anywhere in your post. (Unique Users),Lifetime: The number of clicks anywhere in your post. (Total Count),"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,,Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Average time video viewed (Total Count),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Length of a video post (Total Count),"Lifetime: Views of your video at each moment as a percentage of all views, including views shorter than 3 seconds. (video post) (Total Count)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)
138832254624_10154982886739625,https://www.facebook.com/ColumbiaMissourian/posts/10154982886739625,"This week's most-read stories include a meet and greet with Sen. Kurt Schaefer, a growing feral hog problem around the state and a former Rock Bridge High School football cornerback's determination to overcome the odds and land a spot in the NFL. http://bit.ly/1UqBxRN",Link,,,5/1/16 20:08, ,1852,1852,0,3064,3064,0,60,,2,,,2,,58,66,48,13,,,49,17,,,0,0,,,,,,,2997,1787,0,0,59,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154982712294625,https://www.facebook.com/ColumbiaMissourian/posts/10154982712294625,"The Columbia City Council is set to introduce an ordinance that would freeze the construction of downtown apartments until December, so Mizzou Hillel has postponed its development of a new student housing complex. http://bit.ly/26Iq457",Link,,,5/1/16 18:20, ,4105,4105,0,6621,6621,0,205,1,27,2,1,28,2,191,224,116,90,,,117,107,,,0,0,,,,,,,5140,3014,0,0,162,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154982475379625,https://www.facebook.com/ColumbiaMissourian/posts/10154982475379625,"TODAY IN PHOTOS: Check out how Orthodox Christians are gathering to celebrate Easter, following the older Julian calendar, in this photo collection from the Associated Press. http://bit.ly/1NfJHLu",Link,,,5/1/16 16:00, ,757,757,0,1265,1265,0,8,,2,,,2,,7,7,5,2,,,5,2,,,0,0,,,,,,,1213,721,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154982283639625,https://www.facebook.com/ColumbiaMissourian/posts/10154982283639625,"Tune in to ESPN tonight at 8 p.m. to see &quot;Norm,&quot; an new documentary on former Missouri men's basketball head coach Norm Stewart. The documentary chronicles Stewart's coaching career and serves as a trip down memory lane to a more successful era for the team. http://bit.ly/26InOuI",Link,,,5/1/16 14:20, ,640,640,0,1081,1081,0,21,1,8,5,5,8,5,16,20,6,11,,,7,13,,,0,0,,,,,,,800,468,0,0,19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154982080944625,https://www.facebook.com/ColumbiaMissourian/posts/10154982080944625,The students of Russell Boulevard Elementary School got a real treat when musician Allington Jolly played tunes before MAP testing last week. Russell Principal Jill Dunlap-Brown and Jolly came up with the idea after teachers noticed students were happier and more polite after listening to his music in the morning. http://bit.ly/1UpKqv9,Link,,,5/1/16 12:45, ,2577,2577,0,4511,4511,0,135,6,41,10,6,43,10,105,135,55,64,,,56,79,,,1,1,,1,,,1,,3006,1735,0,0,46,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154981756364625,https://www.facebook.com/ColumbiaMissourian/posts/10154981756364625,"Dr. Ross Gardener Brown, of Columbia, had several stories in his repertoire, including one that involves him, a cow, a thermometer and a pipe. Dr. Brown died Wednesday, April 27, 2016. He was 99. http://bit.ly/1SC3hlk",Link,,,5/1/16 10:24, ,141,141,0,207,207,0,5,,1,,,1,,4,4,2,2,,,2,2,,,0,0,,,,,,,195,130,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154981492809625,https://www.facebook.com/ColumbiaMissourian/posts/10154981492809625,"“You are my sunshine, my only sunshine…” What sayings have you grown up listening to from your maternal figure? Share with us here: http://bit.ly/1TnoDz6",Link,,,5/1/16 8:45, ,68,68,0,103,103,0,3,,,,,,,3,4,1,2,,,2,2,,,0,0,,,,,,,92,57,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154981194694625,https://www.facebook.com/ColumbiaMissourian/posts/10154981194694625:0,"Today's front page features former Mayor Bob McDavid, draft horse plowing, the retiring director of the Missouri Press Association and proposed changes to the city's zoning codes. Our e-edition: http://bit.ly/1O5ecib",Photo,,,5/1/16 6:00, ,2285,2285,0,6624,6624,0,23,,1,,,1,,22,44,4,5,17,,4,14,26,,0,0,,,,,,,6612,2276,0,0,22,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154980426449625,https://www.facebook.com/ColumbiaMissourian/posts/10154980426449625,"Missouri baseball beat the Tennessee volunteers 6-5 Saturday, creating a chance for the Tigers' first SEC sweep this season.",Link,,,4/30/16 20:11, ,579,579,0,948,948,0,11,,5,1,,5,1,7,8,2,5,,,2,6,,,0,0,,,,,,,892,540,0,0,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154980265564625,https://www.facebook.com/ColumbiaMissourian/posts/10154980265564625,A proposed new zoning code would reduce parking requirements for businesses and buildings downtown. http://bit.ly/1TclVvS,Link,,,4/30/16 18:10, ,205,205,0,340,340,0,3,,,,,,,3,3,3,,,,3,,,,0,0,,,,,,,330,197,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154980091509625,https://www.facebook.com/ColumbiaMissourian/posts/10154980091509625,"Horses dragged steel plows through muddy soil Saturday during a demonstration of the pre-WWII farming method. Today, horse-drawn farming is done mostly for recreation and to remember and teach tradition. http://bit.ly/1Nc1YcD",Link,,,4/30/16 16:15, ,855,855,0,1373,1373,0,7,,2,,,2,,6,6,2,4,,,2,4,,,1,1,,1,,,1,,1338,840,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154979909809625,https://www.facebook.com/ColumbiaMissourian/posts/10154979909809625,Three Tigers were selected in the fourth and fifth rounds of the NFL draft on Saturday. Evan Boehm and Connor McGovern continued the trend of Missouri offensive linemen being selected. And Missouri linebacker Kentrell Brothers was also was picked Saturday.,Link,,,4/30/16 15:00, ,2521,2521,0,3940,3940,0,58,,19,1,,19,1,44,54,33,14,,,35,19,,,1,1,,1,,,1,,3353,2001,0,0,50,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154979809604625,https://www.facebook.com/ColumbiaMissourian/posts/10154979809604625,"During his six-year tenure as Columbia's top elected official, former Mayor Bob McDavid made the jump from a physicians philosophy to appreciating &quot;the slow movement of city government.&quot; He also learned to honor the public hearing.",Link,,,4/30/16 14:04, ,1416,1416,0,2542,2542,0,50,,3,,,3,,48,58,16,33,,,17,41,,,1,1,,1,,,1,,2488,1382,0,0,49,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154979586564625,https://www.facebook.com/ColumbiaMissourian/posts/10154979586564625,"Missouri men's basketball has added two guards this offseason, but sophomore forward Jakeenan Gant decided to transfer last week. Where does this leave Missouri's roster for the upcoming school year? http://bit.ly/1rpoRPG",Link,,,4/30/16 12:20, ,1597,1597,0,2795,2795,0,38,,2,,,2,,37,50,27,11,,,37,13,,,1,1,,1,,,1,,2773,1575,0,0,37,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154979289474625,https://www.facebook.com/ColumbiaMissourian/posts/10154979289474625,"Doug Crews joined the Missouri Press Association 36 years ago. After 25 years as executive director, he's retiring. Filmmaker Derek Poore decided to document Crews' final week. http://bit.ly/1SPFywY",Link,,,4/30/16 10:03, ,539,539,0,742,742,0,12,,7,,,7,,9,10,2,8,,,2,8,,,0,0,,,,,,,586,426,0,0,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154979187524625,https://www.facebook.com/ColumbiaMissourian/posts/10154979187524625,J'den Cox has never known how to do things halfway. That attitude set the tone for his greatest achievement: becoming an Olympian. http://bit.ly/1QGg54r,Link,,,4/30/16 9:11, ,1251,1251,0,2072,2072,0,32,,7,2,,7,2,27,33,15,14,,,15,18,,,1,1,,1,,,1,,1784,1079,0,0,29,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154979075269625,https://www.facebook.com/ColumbiaMissourian/posts/10154979075269625,"Karley Mirts saw the positive impact that her parents, who were teachers, had on their students. Because of that, Mirts always knew what she wanted to do with her life. http://bit.ly/1QH6lqO",Link,,,4/30/16 8:25, ,1033,1033,0,1735,1735,0,16,,2,,,2,,16,19,10,8,,,10,9,,,0,0,,,,,,,1687,1001,0,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154978805089625,https://www.facebook.com/ColumbiaMissourian/posts/10154978805089625,Sometimes reporting out of Jefferson City can feel a lot like you're a character in The West Wing. Missourian statehouse reporter Ellen Cagle has tracking down legislators in the Capitol down to a science. http://bit.ly/1TaFp47,Status,,,4/30/16 6:03, ,66,66,0,99,99,0,1,,,,,,,1,2,,1,,,,2,,,1,1,,1,,,1,,92,59,0,0,1,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154977999919625,https://www.facebook.com/ColumbiaMissourian/posts/10154977999919625,An autopsy report implicated the synthetic drug K2 and hypothermia as the causes of the drowning death of a Columbia man found near Hinkson Creek in February. http://bit.ly/1QGbr6v,Link,,,4/29/16 20:10, ,2046,2046,0,3390,3390,0,82,,2,,,2,,80,84,73,6,,,77,7,,,2,2,,2,,,2,,3367,2033,0,0,82,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154977865444625,https://www.facebook.com/ColumbiaMissourian/posts/10154977865444625,"On Friday, MU students celebrated Songkran, the Thai New Year water festival, with Thai cuisine and water fights. In Thai culture, splashing water symbolizes washing out the misfortune and bringing luck for the new year. http://bit.ly/1roBqec",Status,,,4/29/16 18:25, ,78,78,0,135,135,0,2,,,,,,,2,2,,2,,,,2,,,1,1,,1,,,1,,122,67,0,0,2,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154977689249625,https://www.facebook.com/ColumbiaMissourian/posts/10154977689249625,"This week in Columbia, approximately 401 schools were represented at the 65th Annual MSHSAA Music Festival. http://bit.ly/1QFBQBx",Link,,,4/29/16 16:20, ,344,344,0,1320,1320,0,14,,4,,,4,,12,15,3,10,,,3,12,,,0,0,,,,,,,1312,336,0,0,14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154977492439625,https://www.facebook.com/ColumbiaMissourian/posts/10154977492439625,Are you going to the Mizzou baseball games? Are you running in the triathlon? Here are 10 things you can do in Columbia this weekend. Which ones sound interesting to you? http://bit.ly/26BFuIb,Link,,,4/29/16 14:15, ,97,97,0,153,153,0,3,,,,,,,3,4,3,1,,,3,1,,,0,0,,,,,,,144,89,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154977343379625,https://www.facebook.com/ColumbiaMissourian/posts/10154977343379625,"For the past 5 years, the Float Your Boat for the Food Bank event has pushed the boundaries of cardboard boat racing. Michael Yetman from the Food Bank guarantees you'll get wet and have a good time, and you'll do so for a good cause. http://bit.ly/1QFvAtv",Link,,,4/29/16 13:10, ,175,175,0,261,261,0,3,,,,,,,3,4,3,1,,,3,1,,,0,0,,,,,,,251,167,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154977243619625,https://www.facebook.com/ColumbiaMissourian/posts/10154977243619625,"Attorneys are pushing for a permanent injunction in Missouri that would bar the state from revoking Planned Parenthood's license to perform abortions. Currently, Columbia's clinic does not have a physician who can legally perform abortions. The clinic has until June 30 to obtain hospital privileges or a new physician. http://bit.ly/1rnJhsr",Link,,,4/29/16 12:14, ,340,340,0,484,484,0,7,,,,,,,7,9,4,4,,,4,5,,,1,1,,1,,,1,,468,328,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154977152264625,https://www.facebook.com/ColumbiaMissourian/posts/10154977152264625,"&quot;I’ll love you forever, I’ll like you always…” Is there a certain saying from your mother or maternal figure that has stayed with you? We want to know! Share it with us through the link below.",Link,,,4/29/16 11:36, ,175,175,0,266,266,0,7,,1,,,1,,6,10,5,3,,,6,4,,,0,0,,,,,,,253,163,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154976959834625,https://www.facebook.com/ColumbiaMissourian/posts/10154976959834625,"Doug Crews spent 36 years at the Missouri Press Association, 25 as its executive director. In recognition of his retirement, Mizzou documentary filmmaker Derek Poole captured his last week at the MPA. Click the link below to watch the film.",Link,,,4/29/16 10:13, ,2917,2917,0,5142,5142,0,113,4,40,4,5,42,4,90,126,30,72,,,36,90,,,1,1,1,,,1,,,3716,2022,0,0,63,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154976725494625,https://www.facebook.com/ColumbiaMissourian/posts/10154976725494625,"Missouri center Evan Boehm didn't have the senior year he envisioned. But with a hectic final season behind him, Boehm is projected to be slelected in the NFL Draft between rounds 2-6. http://bit.ly/1NYDD4N",Link,,,4/29/16 8:01, ,980,980,0,1643,1643,0,7,,1,,,1,,7,8,3,4,,,4,4,,,0,0,,,,,,,1628,971,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154976468154625,https://www.facebook.com/ColumbiaMissourian/posts/10154976468154625:0,"Today's front page features Quilts of Valor, a plaque for James T. Scott and a Planned Parenthood abortion license hearing. Our e-edition: http://bit.ly/1SUvYvO",Photo,,,4/29/16 6:00, ,1476,1476,0,3758,3758,0,4,,,,,,,4,11,1,1,4,,1,3,7,,0,0,,,,,,,3739,1460,0,0,3,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154976277994625,https://www.facebook.com/ColumbiaMissourian/posts/10154976277994625,The ESPN documentary &quot;Norm&quot; offers a glimpse into the off-court life of a coach who patrolled the sidelines at Missouri for more than 30 years. &quot;Norm&quot; makes its public debut at noon Friday at a Mizzou Arena viewing party. http://bit.ly/1rmlGsg,Link,,,4/29/16 4:16, ,164,164,0,229,229,0,1,,,,,,,1,1,1,,,,1,,,,0,0,,,,,,,214,150,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154975568234625,https://www.facebook.com/ColumbiaMissourian/posts/10154975568234625,Paris Logan has always been an underdog. He overcame a rough upbringing before playing two years of football for Rock Bridge and later playing for Northern Illinois. He now has a chance to be drafted in this weekend's NFL Draft. http://bit.ly/1NYBXbm,Link,,,4/28/16 20:09, ,1550,1550,0,2590,2590,0,44,,4,1,,4,1,44,62,29,22,,,30,32,,,1,1,,1,,,1,,2312,1357,0,0,36,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154975397124625,https://www.facebook.com/ColumbiaMissourian/posts/10154975397124625,Planned Parenthood's attorney said during a Thursday hearing that the Department of Health caved to political pressure when it revoked the Columbia clinic's abortion license. Thursday's hearing is the latest development in a five-month-long legal fight between Planned Parenthood and the state. http://bit.ly/1N4yq0k,Link,,,4/28/16 18:25, ,1297,1297,0,2067,2067,0,23,,5,2,,5,2,19,22,10,10,,,11,11,,,0,0,,,,,,,1904,1157,0,0,23,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
