Post,Posted,OrganicReach,OrganicImpressions,EngagedUsers,Comments,Likes,Shares,LinkClicks,OtherClicks
"This week's most-read stories include a meet and greet with Sen. Kurt Schaefer, a growing feral hog problem around the state and a former Rock Bridge High School football cornerback's determination to overcome the odds and land a spot in the NFL. http://bit.ly/1UqBxRN",5/1/16 20:08,1852,3064,60,,2,,48,13
"The Columbia City Council is set to introduce an ordinance that would freeze the construction of downtown apartments until December, so Mizzou Hillel has postponed its development of a new student housing complex. http://bit.ly/26Iq457",5/1/16 18:20,4105,6621,205,1,28,2,116,90
"TODAY IN PHOTOS: Check out how Orthodox Christians are gathering to celebrate Easter, following the older Julian calendar, in this photo collection from the Associated Press. http://bit.ly/1NfJHLu",5/1/16 16:00,757,1265,8,,2,,5,2
"Tune in to ESPN tonight at 8 p.m. to see &quot;Norm,&quot; an new documentary on former Missouri men's basketball head coach Norm Stewart. The documentary chronicles Stewart's coaching career and serves as a trip down memory lane to a more successful era for the team. http://bit.ly/26InOuI",5/1/16 14:20,640,1081,21,5,8,5,6,11
The students of Russell Boulevard Elementary School got a real treat when musician Allington Jolly played tunes before MAP testing last week. Russell Principal Jill Dunlap-Brown and Jolly came up with the idea after teachers noticed students were happier and more polite after listening to his music in the morning. http://bit.ly/1UpKqv9,5/1/16 12:45,2577,4511,135,6,43,10,55,64
"Dr. Ross Gardener Brown, of Columbia, had several stories in his repertoire, including one that involves him, a cow, a thermometer and a pipe. Dr. Brown died Wednesday, April 27, 2016. He was 99. http://bit.ly/1SC3hlk",5/1/16 10:24,141,207,5,,1,,2,2
"“You are my sunshine, my only sunshine…” What sayings have you grown up listening to from your maternal figure? Share with us here: http://bit.ly/1TnoDz6",5/1/16 8:45,68,103,3,,,,1,2
"Today's front page features former Mayor Bob McDavid, draft horse plowing, the retiring director of the Missouri Press Association and proposed changes to the city's zoning codes. Our e-edition: http://bit.ly/1O5ecib",5/1/16 6:00,2285,6624,23,,1,,4,5
"Missouri baseball beat the Tennessee volunteers 6-5 Saturday, creating a chance for the Tigers' first SEC sweep this season.",4/30/16 20:11,579,948,11,,5,1,2,5
A proposed new zoning code would reduce parking requirements for businesses and buildings downtown. http://bit.ly/1TclVvS,4/30/16 18:10,205,340,3,,,,3,
"Horses dragged steel plows through muddy soil Saturday during a demonstration of the pre-WWII farming method. Today, horse-drawn farming is done mostly for recreation and to remember and teach tradition. http://bit.ly/1Nc1YcD",4/30/16 16:15,855,1373,7,,2,,2,4
Three Tigers were selected in the fourth and fifth rounds of the NFL draft on Saturday. Evan Boehm and Connor McGovern continued the trend of Missouri offensive linemen being selected. And Missouri linebacker Kentrell Brothers was also was picked Saturday.,4/30/16 15:00,2521,3940,58,,19,1,33,14
"During his six-year tenure as Columbia's top elected official, former Mayor Bob McDavid made the jump from a physicians philosophy to appreciating &quot;the slow movement of city government.&quot; He also learned to honor the public hearing.",4/30/16 14:04,1416,2542,50,,3,,16,33
"Missouri men's basketball has added two guards this offseason, but sophomore forward Jakeenan Gant decided to transfer last week. Where does this leave Missouri's roster for the upcoming school year? http://bit.ly/1rpoRPG",4/30/16 12:20,1597,2795,38,,2,,27,11
"Doug Crews joined the Missouri Press Association 36 years ago. After 25 years as executive director, he's retiring. Filmmaker Derek Poore decided to document Crews' final week. http://bit.ly/1SPFywY",4/30/16 10:03,539,742,12,,7,,2,8
J'den Cox has never known how to do things halfway. That attitude set the tone for his greatest achievement: becoming an Olympian. http://bit.ly/1QGg54r,4/30/16 9:11,1251,2072,32,,7,2,15,14
"Karley Mirts saw the positive impact that her parents, who were teachers, had on their students. Because of that, Mirts always knew what she wanted to do with her life. http://bit.ly/1QH6lqO",4/30/16 8:25,1033,1735,16,,2,,10,8
Sometimes reporting out of Jefferson City can feel a lot like you're a character in The West Wing. Missourian statehouse reporter Ellen Cagle has tracking down legislators in the Capitol down to a science. http://bit.ly/1TaFp47,4/30/16 6:03,66,99,1,,,,,1
An autopsy report implicated the synthetic drug K2 and hypothermia as the causes of the drowning death of a Columbia man found near Hinkson Creek in February. http://bit.ly/1QGbr6v,4/29/16 20:10,2046,3390,82,,2,,73,6
"On Friday, MU students celebrated Songkran, the Thai New Year water festival, with Thai cuisine and water fights. In Thai culture, splashing water symbolizes washing out the misfortune and bringing luck for the new year. http://bit.ly/1roBqec",4/29/16 18:25,78,135,2,,,,,2
"This week in Columbia, approximately 401 schools were represented at the 65th Annual MSHSAA Music Festival. http://bit.ly/1QFBQBx",4/29/16 16:20,344,1320,14,,4,,3,10
Are you going to the Mizzou baseball games? Are you running in the triathlon? Here are 10 things you can do in Columbia this weekend. Which ones sound interesting to you? http://bit.ly/26BFuIb,4/29/16 14:15,97,153,3,,,,3,1
"For the past 5 years, the Float Your Boat for the Food Bank event has pushed the boundaries of cardboard boat racing. Michael Yetman from the Food Bank guarantees you'll get wet and have a good time, and you'll do so for a good cause. http://bit.ly/1QFvAtv",4/29/16 13:10,175,261,3,,,,3,1
"Attorneys are pushing for a permanent injunction in Missouri that would bar the state from revoking Planned Parenthood's license to perform abortions. Currently, Columbia's clinic does not have a physician who can legally perform abortions. The clinic has until June 30 to obtain hospital privileges or a new physician. http://bit.ly/1rnJhsr",4/29/16 12:14,340,484,7,,,,4,4
"&quot;I’ll love you forever, I’ll like you always…” Is there a certain saying from your mother or maternal figure that has stayed with you? We want to know! Share it with us through the link below.",4/29/16 11:36,175,266,7,,1,,5,3
"Doug Crews spent 36 years at the Missouri Press Association, 25 as its executive director. In recognition of his retirement, Mizzou documentary filmmaker Derek Poole captured his last week at the MPA. Click the link below to watch the film.",4/29/16 10:13,2917,5142,113,5,42,4,30,72
"Missouri center Evan Boehm didn't have the senior year he envisioned. But with a hectic final season behind him, Boehm is projected to be slelected in the NFL Draft between rounds 2-6. http://bit.ly/1NYDD4N",4/29/16 8:01,980,1643,7,,1,,3,4
"Today's front page features Quilts of Valor, a plaque for James T. Scott and a Planned Parenthood abortion license hearing. Our e-edition: http://bit.ly/1SUvYvO",4/29/16 6:00,1476,3758,4,,,,1,1
The ESPN documentary &quot;Norm&quot; offers a glimpse into the off-court life of a coach who patrolled the sidelines at Missouri for more than 30 years. &quot;Norm&quot; makes its public debut at noon Friday at a Mizzou Arena viewing party. http://bit.ly/1rmlGsg,4/29/16 4:16,164,229,1,,,,1,
Paris Logan has always been an underdog. He overcame a rough upbringing before playing two years of football for Rock Bridge and later playing for Northern Illinois. He now has a chance to be drafted in this weekend's NFL Draft. http://bit.ly/1NYBXbm,4/28/16 20:09,1550,2590,44,,4,1,29,22
Planned Parenthood's attorney said during a Thursday hearing that the Department of Health caved to political pressure when it revoked the Columbia clinic's abortion license. Thursday's hearing is the latest development in a five-month-long legal fight between Planned Parenthood and the state. http://bit.ly/1N4yq0k,4/28/16 18:25,1297,2067,23,,5,2,10,10
"The Missouri International Student Council will organize the Songkran Festival, a Thai New Year celebration, on campus tomorrow. &quot;Songkran comes from a Sanskrit word that means transformation or change,&quot; said Kristy Lai, the director of publicity for the council.",4/28/16 16:04,168,241,2,,,,,2
"Members from The Association of Black Graduate and Professional Students are creating a ceremony to remember James T. Scott, who was lynched in 1923 in Columbia.",4/28/16 14:04,3054,4878,100,,28,4,60,29
"Local columnist George Kennedy says there are a lot of concerns related to the increasing apartment complexes around downtown. It's much more convenient for students to live near campus, but too many apartments and cars will contribute to existing parking issues.",4/28/16 13:11,1452,2319,34,,6,,27,6
"Kelli Smith, who drove the wrong way down Interstate 70 and killed 35-year-old Thomas Sullivan in 2012, was denied a change of venue and suppression of blood evidence. Smith's attorney argued she would not be able to gain an impartial jury after the conviction in Montgomery County. http://bit.ly/1SSZ1jp",4/28/16 12:28,1813,3123,56,,1,,42,18
